customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.75,1692.07,No
C00001,Female,1,No,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,92.01,2241.04,No
C00002,Male,0,No,No,60,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),73.56,4366.62,Yes
C00003,Male,0,Yes,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.08,599.91,No
C00004,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.42,2667.84,No
C00005,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.57,215.18,No
C00006,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),79.38,3143.88,No
C00007,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.52,362.05,No
C00008,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.87,924.39,No
C00009,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.75,1454.31,No
C00010,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),86.79,2425.24,No
C00011,Male,0,Yes,No,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,69.6,4644.16,No
C00012,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.27,2624.68,Yes
C00013,Male,0,No,Yes,54,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),97.08,5286.76,No
C00014,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),97.49,1265.43,Yes
C00015,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,46.47,1650.64,No
C00016,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),56.82,2374.93,No
C00017,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.05,106.7,No
C00018,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.24,462.21,No
C00019,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,92.03,1180.07,No
C00020,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.58,234.76,Yes
C00021,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,58.29,1423.89,Yes
C00022,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.33,791.97,Yes
C00023,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,102.29,4898.31,No
C00024,Female,0,No,No,62,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.86,4708.99,No
C00025,Female,0,No,No,25,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.34,1706.44,No
C00026,Female,0,No,No,9,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),57.33,501.78,No
C00027,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,49.67,2880.04,No
C00028,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,90.21,1170.96,No
C00029,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,101.06,7275.66,Yes
C00030,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),49.41,3441.1,No
C00031,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.4,1054.47,No
C00032,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,73.69,2281.01,Yes
C00033,Female,0,No,No,49,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.57,3614.66,No
C00034,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,100.43,1466.81,Yes
C00035,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.19,3818.84,No
C00036,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,67.3,3412.74,Yes
C00037,Male,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.43,1264.33,Yes
C00038,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.67,1842.67,Yes
C00039,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),106.44,7387.22,No
C00040,Male,0,No,Yes,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,99.59,7091.15,No
C00041,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.34,652.66,No
C00042,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,99.62,1465.11,Yes
C00043,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),82.14,5379.26,No
C00044,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.67,1686.02,Yes
C00045,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.98,1213.95,Yes
C00046,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.93,3632.64,No
C00047,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,102.53,6154.39,No
C00048,Female,0,No,No,31,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),65.48,2083.76,No
C00049,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.75,980.82,Yes
C00050,Male,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.2,2814.74,No
C00051,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,109.21,7056.33,No
C00052,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,538.95,No
C00053,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,76.54,4443.5,No
